participant,operation,dataset,mean,median,q25,q75,min,max,failure,cpu,os
antheus+0002,create,Overall,151962.94615131934,151432.907,151049.68,152225.1255,149650.15,226570.855,0,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,create,Timing Sample: AZ,152556.54590400003,152330.73500000002,152149.36275,152601.598,151490.357,213315.721,0,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,create,Timing Sample: DHS 2,151305.646957,151091.1475,150900.65275,151345.03225,150335.818,214640.022,0,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,create,Timing Sample: LA County,151219.72596266668,151028.745,150741.6735,151374.55275,149650.15,213884.304,0,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,create,Timing Sample: POE+BVA,151579.27292133335,151369.4975,151175.27225,151620.9155,150511.02300000002,215545.187,0,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,create,Timing Sample: IARPA N2N,155538.3000860861,154886.88700000002,154437.34900000002,155439.0135,153754.088,226570.855,0,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,compare,Overall,5564.517168840289,3743.0105,1290.43325,9650.022,2.433,22859.959,14,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,compare,Timing Sample: AZ,9098.5255805,8837.2405,7010.2315,10953.51725,2399.89,20688.769,0,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,compare,Timing Sample: DHS 2,1154.5243500000001,1033.6815,702.35475,1466.3085,2.433,5585.861,12,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,compare,Timing Sample: LA County,3966.450425,3737.569,2734.233,4883.852,3.129,15719.437,2,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,compare,Timing Sample: POE+BVA,1375.671558,1184.7605,835.634,1671.489,316.647,7327.541,0,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
antheus+0002,compare,Timing Sample: IARPA N2N,12335.753715447154,12723.4365,11154.70725,14009.83525,1250.89,22859.959,0,Intel Xeon Gold 6254,Ubuntu 20.04.3 LTS
Aware+0002,create,Overall,465604.7763674129,444961,267936,612066.5,69142,1293976,0,Intel Xeon Gold 6140,CentOS Linux release 8.0.1905 (Core)
Aware+0002,create,Timing Sample: AZ,749174.1186666667,736026.5,658766.0000000001,824012,181519,1293976,0,Intel Xeon Gold 6140,CentOS Linux release 8.0.1905 (Core)
Aware+0002,create,Timing Sample: DHS 2,254501.86533333335,257766.5,242483.25,270285.25,108003,315005,0,Intel Xeon Gold 6140,CentOS Linux release 8.0.1905 (Core)
Aware+0002,create,Timing Sample: LA County,501788.0456666667,499138.5,464698.25,538316.25,69142,720890,0,Intel Xeon Gold 6140,CentOS Linux release 8.0.1905 (Core)
Aware+0002,create,Timing Sample: POE+BVA,294083.9826666667,275973.50000000006,259134.75,326013.00000000006,151227,499020.00000000006,0,Intel Xeon Gold 6140,CentOS Linux release 8.0.1905 (Core)
